@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
3419,'2017/03/22 18:36:18:843',3,0.494025,0.75456,1
3420,'2017/03/22 18:36:18:844',3,0.494025,0.75456,1
3421,'2017/03/22 18:36:18:919',3,0.481948,0.75456,1
3422,'2017/03/22 18:36:18:919',3,0.481948,0.75456,1
3423,'2017/03/22 18:36:19:052',3,0.469571,0.75456,1
3424,'2017/03/22 18:36:19:052',3,0.469571,0.75456,1
3425,'2017/03/22 18:36:19:139',3,0.456976,0.75456,1
3426,'2017/03/22 18:36:19:139',3,0.456976,0.75456,1
3427,'2017/03/22 18:36:19:322',3,0.444165,0.75456,1
3428,'2017/03/22 18:36:19:322',3,0.444165,0.75456,1
3429,'2017/03/22 18:36:19:352',3,0.431068,0.75456,1
3430,'2017/03/22 18:36:19:353',3,0.431068,0.75456,1
3431,'2017/03/22 18:36:19:418',3,0.417199,0.75456,1
3432,'2017/03/22 18:36:19:418',3,0.417199,0.743741,1
3433,'2017/03/22 18:36:19:592',3,0.402752,0.743741,1
3434,'2017/03/22 18:36:19:592',3,0.402752,0.731445,1
3435,'2017/03/22 18:36:19:652',3,0.388012,0.731445,1
3436,'2017/03/22 18:36:19:652',3,0.388012,0.719088,1
3437,'2017/03/22 18:36:19:718',3,0.373465,0.719088,1
3438,'2017/03/22 18:36:19:718',3,0.373465,0.708103,1
3439,'2017/03/22 18:36:19:879',3,0.3591,0.708103,1
3440,'2017/03/22 18:36:19:879',3,0.3591,0.708103,1
3441,'2017/03/22 18:36:19:944',3,0.345209,0.708103,1
3442,'2017/03/22 18:36:19:944',3,0.345209,0.708103,1
3443,'2017/03/22 18:36:20:019',3,0.331793,0.708103,1
3444,'2017/03/22 18:36:20:019',3,0.331793,0.708103,1
3445,'2017/03/22 18:36:20:198',3,0.318609,0.708103,1
3446,'2017/03/22 18:36:20:198',3,0.318609,0.708103,1
3447,'2017/03/22 18:36:20:235',3,0.305836,0.708103,1
3448,'2017/03/22 18:36:20:235',3,0.305836,0.708103,1
3449,'2017/03/22 18:36:20:367',3,0.293604,0.708103,1
3450,'2017/03/22 18:36:20:367',3,0.293604,0.708103,1
3451,'2017/03/22 18:36:20:491',3,0.282004,0.708103,1
3452,'2017/03/22 18:36:20:492',3,0.282004,0.708103,1
3453,'2017/03/22 18:36:20:515',3,0.282004,0.708103,1
3454,'2017/03/22 18:36:20:516',3,0.282004,0.708103,1
3455,'2017/03/22 18:36:20:665',3,0.282004,0.708103,1
3456,'2017/03/22 18:36:20:666',3,0.282004,0.708103,1
3457,'2017/03/22 18:36:20:807',3,0.29302,0.708103,1
3458,'2017/03/22 18:36:20:810',3,0.29302,0.708103,1
3459,'2017/03/22 18:36:20:816',3,0.305431,0.708103,1
3460,'2017/03/22 18:36:20:816',3,0.305431,0.708103,1
3461,'2017/03/22 18:36:20:968',3,0.319125,0.708103,1
3462,'2017/03/22 18:36:20:969',3,0.319125,0.708103,1
3463,'2017/03/22 18:36:21:082',3,0.33388,0.708103,1
3464,'2017/03/22 18:36:21:082',3,0.33388,0.708103,1
3465,'2017/03/22 18:36:21:127',3,0.349329,0.708103,1
3466,'2017/03/22 18:36:21:127',3,0.349329,0.718562,1
3467,'2017/03/22 18:36:21:251',3,0.365247,0.718562,1
3468,'2017/03/22 18:36:21:251',3,0.365247,0.729404,1
3469,'2017/03/22 18:36:21:334',3,0.381543,0.729404,1
3470,'2017/03/22 18:36:21:334',3,0.381543,0.740807,1
3471,'2017/03/22 18:36:21:465',3,0.398018,0.740807,1
3472,'2017/03/22 18:36:21:466',3,0.398018,0.752974,1
3473,'2017/03/22 18:36:21:548',3,0.414492,0.752974,1
3474,'2017/03/22 18:36:21:548',3,0.414492,0.764712,1
3475,'2017/03/22 18:36:21:617',3,0.430854,0.764712,1
3476,'2017/03/22 18:36:21:617',3,0.430854,0.777002,1
3477,'2017/03/22 18:36:21:766',3,0.446989,0.777002,1
3478,'2017/03/22 18:36:21:766',3,0.446989,0.789641,1
